国家/地区,点击次数,展示,点击率,排名
台湾,4539,104398,4.35%,8.47
中国香港,1161,23468,4.95%,8.42
澳门,135,4654,2.9%,7.73
日本,104,2026,5.13%,11.96
美国,87,4679,1.86%,31.03
加拿大,48,1319,3.64%,13.65
英国,40,1231,3.25%,21.18
澳大利亚,36,662,5.44%,10.95
韩国,35,1016,3.44%,20.44
中国,26,1255,2.07%,9.44
马来西亚,26,543,4.79%,16.75
新加坡,20,467,4.28%,13.49
未知地区,13,396,3.28%,11.86
泰国,7,229,3.06%,15.73
越南,6,542,1.11%,29.56
南非,6,61,9.84%,44.93
德国,4,428,0.93%,30.18
新西兰,4,108,3.7%,11.33
印度尼西亚,3,209,1.44%,34.46
荷兰,3,165,1.82%,28.92
阿根廷,3,119,2.52%,38.97
法国,2,253,0.79%,27.4
乌克兰,2,123,1.63%,48.24
捷克,2,28,7.14%,33.21
希腊,2,24,8.33%,39.88
巴西,1,880,0.11%,51.69
俄罗斯,1,482,0.21%,45.86
印度,1,377,0.27%,50.29
意大利,1,158,0.63%,37.47
墨西哥,1,131,0.76%,48.63
菲律宾,1,109,0.92%,36.2
瑞典,1,65,1.54%,28.38
柬埔寨,1,61,1.64%,9.95
奥地利,1,42,2.38%,21.64
智利,1,41,2.44%,39.54
哥伦比亚,1,37,2.7%,50.22
厄瓜多尔,1,27,3.7%,55
伊朗,1,21,4.76%,29.95
以色列,1,16,6.25%,35.88
西班牙,0,152,0%,31.91
土耳其,0,120,0%,47.85
波兰,0,72,0%,39.6
罗马尼亚,0,60,0%,46.38
巴基斯坦,0,55,0%,48.55
埃及,0,54,0%,55.43
秘鲁,0,51,0%,45.63
比利时,0,49,0%,18.78
孟加拉,0,49,0%,52.78
尼泊尔,0,44,0%,26.2
沙特阿拉伯,0,44,0%,36.7
瑞士,0,42,0%,22.19
伊拉克,0,41,0%,48.17
立陶宛,0,36,0%,48.25
缅甸,0,35,0%,11.46
葡萄牙,0,33,0%,38.42
阿拉伯联合酋长国,0,31,0%,27.74
丹麦,0,27,0%,21.67
委内瑞拉,0,26,0%,57.08
芬兰,0,24,0%,23.25
爱尔兰,0,24,0%,37.12
摩洛哥,0,23,0%,60.26
白俄罗斯,0,22,0%,44.73
多米尼加共和国,0,21,0%,38.19
乌兹别克斯坦,0,20,0%,47.65
特立尼达和多巴哥,0,20,0%,54.95
挪威,0,19,0%,40.47
约旦,0,18,0%,49.5
保加利亚,0,17,0%,45.76
阿尔及利亚,0,17,0%,63.35
塞尔维亚,0,15,0%,40.4
玻利维亚,0,15,0%,45.47
巴拉圭,0,14,0%,28.07
匈牙利,0,14,0%,39.43
牙买加,0,14,0%,46.79
塞浦路斯,0,14,0%,52.21
哈萨克斯坦,0,14,0%,57.29
波斯尼亚和黑塞哥维那,0,12,0%,42.08
斯里兰卡,0,11,0%,35.64
克罗地亚,0,11,0%,37.18
文莱,0,10,0%,16.5
巴巴多斯,0,10,0%,49.2
巴拿马,0,9,0%,33
格鲁吉亚,0,9,0%,41.89
突尼斯,0,8,0%,43
肯尼亚,0,8,0%,51.75
阿塞拜疆,0,8,0%,62
伯利兹,0,7,0%,8.86
安哥拉,0,7,0%,37.57
科威特,0,7,0%,41.43
埃塞俄比亚,0,7,0%,49
吉尔吉斯斯坦,0,7,0%,70.29
老挝,0,6,0%,14
乌拉圭,0,6,0%,22.67
萨尔瓦多,0,6,0%,30.5
蒙古,0,6,0%,31
危地马拉,0,6,0%,41.5
阿尔巴尼亚,0,6,0%,43.67
冰岛,0,5,0%,30.8
洪都拉斯,0,5,0%,40.6
尼日利亚,0,5,0%,41.4
阿曼,0,5,0%,42
黎巴嫩,0,5,0%,42.6
塞舌尔,0,5,0%,46.8
斯洛伐克,0,5,0%,52.2
利比亚,0,5,0%,60.6
巴林,0,4,0%,40.25
摩尔多瓦,0,4,0%,45.5
巴勒斯坦,0,4,0%,47
毛里求斯,0,4,0%,48
塞内加尔,0,4,0%,56.75
马其顿,0,4,0%,66
爱沙尼亚,0,3,0%,21
卡塔尔,0,3,0%,29.67
塔吉克斯坦,0,3,0%,32
斯洛文尼亚,0,3,0%,61
尼加拉瓜,0,3,0%,81.33
卢森堡,0,2,0%,3.5
关岛,0,2,0%,17.5
赞比亚,0,2,0%,38.5
英属维尔京群岛,0,2,0%,39
圭亚那,0,2,0%,44
马尔代夫,0,2,0%,48
刚果 - 金沙萨,0,2,0%,49
加纳,0,2,0%,52
拉脱维亚,0,2,0%,52.5
曼岛,0,2,0%,53.5
圣卢西亚,0,2,0%,56.5
叙利亚,0,2,0%,56.5
巴哈马,0,2,0%,69
刚果 - 布拉柴维尔,0,2,0%,77
卢旺达,0,1,0%,1
法属圭亚那,0,1,0%,2
圣马力诺,0,1,0%,3
阿鲁巴,0,1,0%,5
马耳他,0,1,0%,5
所罗门群岛,0,1,0%,5
古巴,0,1,0%,9
东帝汶,0,1,0%,9
博茨瓦纳,0,1,0%,10
格恩西岛,0,1,0%,11
百慕大,0,1,0%,12
哥斯达黎加,0,1,0%,21
莫桑比克,0,1,0%,22
格林纳达,0,1,0%,25
黑山,0,1,0%,25
安圭拉,0,1,0%,26
圣文森特和格林纳丁斯,0,1,0%,29
库拉索,0,1,0%,32
特克斯和凯科斯群岛,0,1,0%,38
科特迪瓦,0,1,0%,39
不丹,0,1,0%,41
马达加斯加,0,1,0%,42
开曼群岛,0,1,0%,49
亚美尼亚,0,1,0%,52
波多黎各,0,1,0%,55
圣赫勒拿岛,0,1,0%,56
安提瓜和巴布达,0,1,0%,62
坦桑尼亚,0,1,0%,64
土库曼斯坦,0,1,0%,69
布基纳法索,0,1,0%,72
苏丹,0,1,0%,86
喀麦隆,0,1,0%,95
苏里南,0,1,0%,98
