日期,点击次数,展示,点击率,排名
2025-03-17,1,28,3.57%,88.25
2025-03-16,0,4,0%,42.75
2025-03-15,1,8,12.5%,43.5
2025-03-14,0,11,0%,59.09
2025-03-13,1,18,5.56%,70.89
2025-03-12,0,17,0%,39.41
2025-03-11,3,24,12.5%,54.83
2025-03-10,2,17,11.76%,65.18
2025-03-09,0,15,0%,74.8
2025-03-08,0,14,0%,39.14
2025-03-07,0,13,0%,54.77
2025-03-06,2,15,13.33%,53.47
2025-03-05,2,7,28.57%,66.29
2025-03-04,1,22,4.55%,78.73
2025-03-03,1,9,11.11%,46.67
2025-03-02,2,21,9.52%,59.76
2025-03-01,1,15,6.67%,40.6
2025-02-28,0,6,0%,45
2025-02-27,1,9,11.11%,60.78
2025-02-26,0,11,0%,43.55
2025-02-25,3,18,16.67%,24.56
2025-02-24,2,12,16.67%,27.17
2025-02-23,2,10,20%,35.4
2025-02-22,1,6,16.67%,37
2025-02-21,2,7,28.57%,21.86
2025-02-20,4,18,22.22%,25.94
2025-02-19,3,15,20%,21.53
2025-02-18,3,35,8.57%,48.71
2025-02-17,2,15,13.33%,36.6
2025-02-16,1,12,8.33%,29.42
2025-02-15,0,9,0%,40.56
2025-02-14,4,21,19.05%,33.19
2025-02-13,1,15,6.67%,35.2
2025-02-12,3,18,16.67%,28.83
2025-02-11,4,20,20%,28.6
2025-02-10,4,14,28.57%,16.71
2025-02-09,0,8,0%,28.75
2025-02-08,1,13,7.69%,51.15
2025-02-07,1,18,5.56%,48.83
2025-02-06,2,22,9.09%,68.86
2025-02-05,1,24,4.17%,50.04
2025-02-04,0,16,0%,64.12
2025-02-03,3,40,7.5%,65.97
2025-02-02,3,47,6.38%,81.19
2025-02-01,1,48,2.08%,62.96
2025-01-31,1,34,2.94%,62.35
2025-01-30,1,24,4.17%,62.12
2025-01-29,0,24,0%,64.58
2025-01-28,0,24,0%,63.71
2025-01-27,2,36,5.56%,71.03
2025-01-26,1,21,4.76%,53.67
2025-01-25,2,27,7.41%,65.85
2025-01-24,0,18,0%,77.5
2025-01-23,3,48,6.25%,50.1
2025-01-22,0,26,0%,42.5
2025-01-21,1,35,2.86%,56.37
2025-01-20,0,32,0%,53.5
2025-01-19,1,24,4.17%,41.46
2025-01-18,1,28,3.57%,40.89
2025-01-17,0,20,0%,57.1
2025-01-16,1,26,3.85%,36.65
2025-01-15,2,34,5.88%,35.79
2025-01-14,0,24,0%,68.17
2025-01-13,2,31,6.45%,69.48
2025-01-12,4,38,10.53%,55.74
2025-01-11,5,32,15.62%,51.12
2025-01-10,1,35,2.86%,54.57
2025-01-09,0,32,0%,62.16
2025-01-08,2,27,7.41%,28
2025-01-07,0,18,0%,37.72
2025-01-06,2,12,16.67%,8.33
2025-01-05,0,16,0%,46.88
2025-01-04,1,15,6.67%,36.73
2025-01-03,3,21,14.29%,33.43
2025-01-02,6,38,15.79%,24.87
2025-01-01,5,25,20%,38.88
2024-12-31,2,11,18.18%,4.09
2024-12-30,2,15,13.33%,26.93
2024-12-29,1,14,7.14%,42.79
2024-12-28,1,10,10%,63.1
2024-12-27,2,11,18.18%,60.36
2024-12-26,2,13,15.38%,47.92
2024-12-25,3,21,14.29%,22.76
2024-12-24,3,13,23.08%,19.62
2024-12-23,2,13,15.38%,40.92
2024-12-22,1,13,7.69%,38.54
2024-12-21,2,12,16.67%,33.75
2024-12-20,0,24,0%,45.62
2024-12-19,48,1362,3.52%,10.75
2024-12-18,47,1555,3.02%,9.97
2024-12-17,83,2023,4.1%,9.14
2024-12-16,91,2369,3.84%,8.85
2024-12-15,75,2261,3.32%,9.4
2024-12-14,80,2104,3.8%,14.02
2024-12-13,73,1976,3.69%,9.47
2024-12-12,87,2474,3.52%,9.21
2024-12-11,109,2596,4.2%,8.75
2024-12-10,103,2637,3.91%,9.16
2024-12-09,103,2849,3.62%,9.37
2024-12-08,110,2967,3.71%,8.89
2024-12-07,86,2472,3.48%,9.57
2024-12-06,79,2352,3.36%,9.29
2024-12-05,103,2751,3.74%,10.25
2024-12-04,109,2674,4.08%,9.13
2024-12-03,95,2644,3.59%,8.61
2024-12-02,94,2678,3.51%,8.42
2024-12-01,95,2508,3.79%,8.57
2024-11-30,84,1928,4.36%,9.28
2024-11-29,72,1821,3.95%,9.52
2024-11-28,76,2432,3.12%,9.18
2024-11-27,94,2376,3.96%,8.88
2024-11-26,79,2322,3.4%,8.9
2024-11-25,99,2463,4.02%,9.31
2024-11-24,81,2338,3.46%,9.94
2024-11-23,68,1679,4.05%,9.97
2024-11-22,57,1572,3.63%,9.29
2024-11-21,77,2125,3.62%,9.51
2024-11-20,99,2338,4.23%,9.2
2024-11-19,110,2436,4.52%,10.89
2024-11-18,78,2253,3.46%,9.37
2024-11-17,110,2281,4.82%,10.1
2024-11-16,65,1752,3.71%,9.62
2024-11-15,52,1572,3.31%,9.57
2024-11-14,72,2073,3.47%,9.39
2024-11-13,92,2121,4.34%,9.11
2024-11-12,92,2235,4.12%,8.73
2024-11-11,77,1891,4.07%,8.93
2024-11-10,72,1749,4.12%,10.15
2024-11-09,61,1377,4.43%,10.2
2024-11-08,46,1221,3.77%,10.03
2024-11-07,58,1563,3.71%,10.39
2024-11-06,75,1715,4.37%,9.96
2024-11-05,81,1740,4.66%,9.97
2024-11-04,75,1865,4.02%,9.23
2024-11-03,102,2105,4.85%,10.06
2024-11-02,69,1461,4.72%,9.31
2024-11-01,55,1346,4.09%,10.21
2024-10-31,79,1659,4.76%,9.32
2024-10-30,58,1474,3.93%,9.67
2024-10-29,57,1478,3.86%,10.16
2024-10-28,72,1543,4.67%,8.94
2024-10-27,60,1433,4.19%,9.83
2024-10-26,52,1334,3.9%,15.33
2024-10-25,39,1106,3.53%,10.1
2024-10-24,58,1396,4.15%,11.12
2024-10-23,41,1239,3.31%,9.86
2024-10-22,59,1343,4.39%,10.31
2024-10-21,55,1216,4.52%,10.49
2024-10-20,66,1180,5.59%,10.6
2024-10-19,36,751,4.79%,11.6
2024-10-18,38,747,5.09%,12.82
2024-10-17,40,881,4.54%,12.57
2024-10-16,40,925,4.32%,11.04
2024-10-15,52,1056,4.92%,10.57
2024-10-14,41,997,4.11%,10.98
2024-10-13,44,1052,4.18%,11.24
2024-10-12,30,795,3.77%,11.24
2024-10-11,27,767,3.52%,11.13
2024-10-10,36,915,3.93%,12.63
2024-10-09,31,757,4.1%,12.32
2024-10-08,46,860,5.35%,10.77
2024-10-07,42,850,4.94%,11.34
2024-10-06,47,876,5.37%,9.93
2024-10-05,22,590,3.73%,13.97
2024-10-04,24,609,3.94%,12.11
2024-10-03,21,736,2.85%,11.32
2024-10-02,34,772,4.4%,12.04
2024-10-01,46,712,6.46%,10.85
2024-09-30,27,689,3.92%,10.69
2024-09-29,39,742,5.26%,12.31
2024-09-28,26,588,4.42%,12.84
2024-09-27,17,508,3.35%,11.16
2024-09-26,30,601,4.99%,12.83
2024-09-25,25,601,4.16%,12.09
2024-09-24,31,547,5.67%,12.16
2024-09-23,23,583,3.95%,12.56
2024-09-22,21,545,3.85%,12.08
2024-09-21,11,327,3.36%,12.85
2024-09-20,9,282,3.19%,14.49
2024-09-19,17,429,3.96%,21.89
2024-09-18,19,355,5.35%,13
2024-09-17,16,342,4.68%,13.55
2024-09-16,19,254,7.48%,12.49
2024-09-15,11,226,4.87%,10.78
2024-09-14,9,174,5.17%,10.6
2024-09-13,9,171,5.26%,8.99
2024-09-12,14,218,6.42%,10.99
2024-09-11,15,191,7.85%,7.94
