热门查询,点击次数,展示,点击率,排名
永懷賦,51,197,25.89%,3.28
四言敝而有楚辭,51,126,40.48%,2.5
老饕賦,27,153,17.65%,5.48
秋暮遣懷,26,114,22.81%,2.51
塞下曲 王昌齡,22,403,5.46%,5.61
江城子 歐陽炯,18,326,5.52%,4.16
白玉堂前春解舞,17,150,11.33%,3.73
盲者說,15,143,10.49%,4.52
念奴嬌 自述,14,17,82.35%,1
客至,13,1291,1.01%,9.88
清平樂 五月十五夜玩月,12,123,9.76%,7.98
太行路,12,84,14.29%,10.07
江南逢李龜年,11,1002,1.1%,7.43
錢塘湖春行,11,532,2.07%,7.68
山翠繞湖 容態百逞,11,54,20.37%,2.87
月夜劉方平,10,178,5.62%,6.92
夢遊天姥吟留別,9,531,1.69%,8.46
李賀將進酒,9,263,3.42%,6.14
江畔獨步尋花,9,150,6%,8.01
送樸山人歸新羅,9,46,19.57%,2.3
魯山山行,8,135,5.93%,5.81
王國維蝶戀花,8,105,7.62%,7.14
送朴山人歸新羅,8,19,42.11%,2.37
望月有感,7,360,1.94%,6.56
四時田園雜興,7,106,6.6%,5.82
鍾嶸 詩品序,7,94,7.45%,4.28
雪梅 盧梅坡,7,81,8.64%,6.59
秋風秋雨愁煞人寒宵獨坐心如搗,7,72,9.72%,5.15
白玉堂前春解舞人物,7,64,10.94%,3.2
節令門端陽,7,59,11.86%,4.69
南鄉子 重陽日宜州城樓宴集即席作,7,46,15.22%,3.96
盧梅坡 雪梅,7,46,15.22%,6.93
臨安春雨初霽,6,283,2.12%,8.95
遣悲懷其二,6,142,4.23%,5.56
春雨 李商隱,6,137,4.38%,8.45
苦齋記,6,134,4.48%,6.76
可樓記,6,47,12.77%,3.26
房兵曹胡馬,5,304,1.64%,7
塞下曲二,5,191,2.62%,6.37
山中送別,5,159,3.14%,10.45
蟬 李商隱,5,121,4.13%,8.43
打馬圖經,5,115,4.35%,9.27
西湖七月半,5,113,4.42%,12.78
王國維 蝶戀花,5,106,4.72%,6.82
昨日歌,5,57,8.77%,6.42
觀潮 蘇軾,5,49,10.2%,9.33
華子岡,5,31,16.13%,4.13
塞下曲其二王昌齡,5,24,20.83%,5.58
劉禹錫竹枝詞九首,5,22,22.73%,5.27
送別王維,4,500,0.8%,9.84
長歌行李白,4,409,0.98%,7.99
詩品序,4,172,2.33%,6.42
送窮文,4,152,2.63%,8.68
偶成 朱熹,4,144,2.78%,6.12
長沙過賈誼宅,4,106,3.77%,6.26
於潛僧綠筠軒,4,97,4.12%,7.78
霜降水痕收,4,84,4.76%,6.01
籌筆驛 李商隱,4,64,6.25%,7.75
竹枝詞九首,4,61,6.56%,4.75
雷庵正受,4,52,7.69%,3.5
王昌齡 塞下曲,4,44,9.09%,5.68
旅宿 杜牧,4,43,9.3%,7.44
崔道融 梅花,4,42,9.52%,7.07
南鄉子 蘇軾,4,40,10%,7.15
百忍歌,4,38,10.53%,6.26
天魔嬈佛,4,38,10.53%,9
論語三則,4,35,11.43%,4.94
春雁,4,34,11.76%,5.09
屈原廟賦,4,27,14.81%,4.44
送友人,4,26,15.38%,31.46
岳飛傳 畢沅,4,24,16.67%,6.08
哀江頭,3,317,0.95%,8.35
吳懷氏之民歟,3,214,1.4%,4.52
沈復閨房記樂,3,163,1.84%,7.1
